,AAPL_return,MSFT_return,CORESTICKM159SFRBATL
2021-09-30,0.06873250314945811,0.044959160828547784,2.610662
2021-10-31,-0.04182679422803948,-0.12827463020464336,3.007604
2021-11-30,-0.09854377160110694,-0.0009922480525292876,3.184384
2021-12-31,-0.09554938022839798,-0.010977994584626782,3.456458
2022-01-31,0.04562262636809855,0.08469352030986566,3.965498
2022-02-28,0.06979383890067947,0.050324624113474714,4.280304
2022-03-31,-0.061512835485401984,-0.04318973725327169,4.534344
2022-04-30,0.1031353428255688,0.09083486694754406,4.703935
2022-05-31,0.07029759349210796,0.04915602981482514,4.950974
2022-06-30,0.07435599226649448,0.0536569472112528,5.39633
2022-07-31,-0.14771421818071195,-0.063859485828345,5.59073
2022-08-31,0.02513413102403461,0.06797442693322331,5.951312
2022-09-30,0.10969415546812633,0.08249654853480115,6.348017
