DATE,CORESTICKM159SFRBATL
2014-12-31,1.9872786666666666
2015-03-31,1.979496
2015-06-30,2.071334333333333
2015-09-30,2.189406
2015-12-31,2.3892046666666666
2016-03-31,2.5084486666666668
2016-06-30,2.553579
2016-09-30,2.6369336666666663
2016-12-31,2.535372666666667
2017-03-31,2.584297
2017-06-30,2.165805
2017-09-30,2.0993926666666667
2017-12-31,2.1315233333333334
2018-03-31,2.215949666666667
2018-06-30,2.528900333333333
2018-09-30,2.471359
2018-12-31,2.449275666666667
2019-03-31,2.3693143333333335
2019-06-30,2.382091
2019-09-30,2.5764183333333333
2019-12-31,2.7574086666666666
2020-03-31,2.7323793333333337
2020-06-30,2.0623356666666663
2020-09-30,2.1582383333333333
2020-12-31,1.681852
2021-03-31,1.4660193333333333
2021-06-30,2.4434543333333334
