,DATE,GDP
148,1984-01-01,-0.4439113088651622
149,1984-04-01,-0.43033241650099346
150,1984-07-01,-0.4203503319874891
151,1984-10-01,-0.4117519848387952
152,1985-01-01,-0.40083813747662445
153,1985-04-01,-0.3921838952546323
154,1985-07-01,-0.3798968744290637
155,1985-10-01,-0.37223189477228885
156,1986-01-01,-0.36370054147939035
157,1986-04-01,-0.3586932522097057
158,1986-07-01,-0.3503586014355197
159,1986-10-01,-0.34367820413447536
160,1987-01-01,-0.3350493687639825
161,1987-04-01,-0.3238163311148188
162,1987-07-01,-0.3133333304659664
163,1987-10-01,-0.2968270339280025
164,1988-01-01,-0.2880846700473893
165,1988-04-01,-0.2724843283457794
166,1988-07-01,-0.26007522091274354
167,1988-10-01,-0.24447354200842314
168,1989-01-01,-0.22953110404037222
169,1989-04-01,-0.21599727540754685
170,1989-07-01,-0.2049115974970786
171,1989-10-01,-0.19797525959724735
172,1990-01-01,-0.18119817951041006
173,1990-04-01,-0.1695207894005519
174,1990-07-01,-0.16215440710902854
175,1990-10-01,-0.16354282468332576
176,1991-01-01,-0.1594717110312522
177,1991-04-01,-0.14721170170043546
178,1991-07-01,-0.13663777126727011
179,1991-10-01,-0.128801362223011
180,1992-01-01,-0.11562162486792224
181,1992-04-01,-0.10122516676656255
182,1992-07-01,-0.08840433461896818
183,1992-10-01,-0.07313856103552174
184,1993-01-01,-0.06663226752738273
185,1993-04-01,-0.05600418038444263
186,1993-07-01,-0.04622133907480064
187,1993-10-01,-0.028618402593967356
188,1994-01-01,-0.014990434890323825
189,1994-04-01,0.0025642285726608176
190,1994-07-01,0.013815987059771391
191,1994-10-01,0.030425783087526893
192,1995-01-01,0.0393851749680519
193,1995-04-01,0.04723562464077118
194,1995-07-01,0.0608922084824191
195,1995-10-01,0.0728549576506949
196,1996-01-01,0.08567632467937346
197,1996-04-01,0.1076561930721684
198,1996-07-01,0.12083673274888349
199,1996-10-01,0.13800146790149062
200,1997-01-01,0.1517591442680513
201,1997-04-01,0.17264223899770587
202,1997-07-01,0.19189769058815723
203,1997-10-01,0.20568211100892744
204,1998-01-01,0.21913075982909494
205,1998-04-01,0.232933232486457
206,1998-07-01,0.2531782140826677
207,1998-10-01,0.2762976466253385
208,1999-01-01,0.2920353190453154
209,1999-04-01,0.30735003424796536
210,1999-07-01,0.32880090524849226
211,1999-10-01,0.3573559330890162
212,2000-01-01,0.37099673793868043
213,2000-04-01,0.40383054701221627
214,2000-07-01,0.41325047150623273
215,2000-10-01,0.42897316725585205
216,2001-01-01,0.43358477824350383
217,2001-04-01,0.45080380382615665
218,2001-07-01,0.45067275796052914
219,2001-10-01,0.4590229202861568
220,2002-01-01,0.4754751938346171
221,2002-04-01,0.4893767532128259
222,2002-07-01,0.5022914569906967
223,2002-10-01,0.5126404699279583
224,2003-01-01,0.5277102095940476
225,2003-04-01,0.5462487868114074
226,2003-07-01,0.5802007647914516
227,2003-10-01,0.6076889723095501
228,2004-01-01,0.6279092156556169
229,2004-04-01,0.6532315559435418
230,2004-07-01,0.6789716383582224
231,2004-10-01,0.7086451025457964
232,2005-01-01,0.7407475954569678
233,2005-04-01,0.7615237139697836
234,2005-07-01,0.7909403015166733
235,2005-10-01,0.8152188213687931
236,2006-01-01,0.8519860122152226
237,2006-04-01,0.8726142361082587
238,2006-07-01,0.8882279498369734
239,2006-10-01,0.9108764195850111
240,2007-01-01,0.9344233558342241
241,2007-04-01,0.9593529596860795
242,2007-07-01,0.9810203238054338
243,2007-10-01,1.0012041952377755
244,2008-01-01,1.0000648985284417
245,2008-04-01,1.0213482180293445
246,2008-07-01,1.0258008356147197
247,2008-10-01,0.9869163179965073
248,2009-01-01,0.963206777897699
249,2009-04-01,0.956565426915801
250,2009-07-01,0.9656110683711522
251,2009-10-01,0.9926716384624374
252,2010-01-01,1.007830302108774
253,2010-04-01,1.0366581193022368
254,2010-07-01,1.0582424431332702
255,2010-10-01,1.0806896638733798
256,2011-01-01,1.0863024385303723
257,2011-04-01,1.1138609829110424
258,2011-07-01,1.125914661863631
259,2011-10-01,1.1519338184839902
260,2012-01-01,1.1822276110089585
261,2012-04-01,1.2007224616976857
262,2012-07-01,1.2157560968905918
263,2012-10-01,1.229245530393429
264,2013-01-01,1.2597029965301607
265,2013-04-01,1.2704672109090285
266,2013-07-01,1.300574463655884
267,2013-10-01,1.3324240915345025
268,2014-01-01,1.3331888377646295
269,2014-04-01,1.376082289108878
270,2014-07-01,1.4142888449528739
271,2014-10-01,1.4287107099057332
272,2015-01-01,1.4489626449560382
273,2015-04-01,1.4778803221716459
274,2015-07-01,1.4941730674367453
275,2015-10-01,1.4986541674398537
276,2016-01-01,1.5107954331699796
277,2016-04-01,1.5356365142024007
278,2016-07-01,1.5598314588851148
279,2016-10-01,1.5861395850112099
280,2017-01-01,1.6116407093015264
281,2017-04-01,1.6328432617587163
282,2017-07-01,1.6668017920320417
283,2017-10-01,1.7128674893663753
284,2018-01-01,1.7518422681675456
285,2018-04-01,1.7855877820490906
286,2018-07-01,1.8147144640483472
287,2018-10-01,1.83064549598026
288,2019-01-01,1.8555530359873926
289,2019-04-01,1.8930805602950043
290,2019-07-01,1.9344679202264325
291,2019-10-01,1.9622961783938075
292,2020-01-01,1.9361034528616277
293,2020-04-01,1.6962935303712607
294,2020-07-01,1.9282309393441854
295,2020-10-01,1.9786250281320903
296,2021-01-01,2.055605514930142
297,2021-04-01,2.148163610983725
298,2021-07-01,2.2199193793513676
299,2021-10-01,2.330322846737195
300,2022-01-01,2.3804028266084067
301,2022-04-01,2.4492897602809727
302,2022-07-01,2.509512823872031
303,2022-10-01,2.564841725542712
304,2023-01-01,2.6190246444905068
305,2023-04-01,2.6523759510130005
306,2023-07-01,2.725536450828008
307,2023-10-01,2.7719200012466243
308,2024-01-01,2.8157133900150293
